ac_number,constituency,votes_winner,votes_runnerup,margin
1,Gummidipoondi,94320,66375,27945
2,Ponneri,110439,54671,55768
3,Tiruttani,89169,83376,5793
4,Thiruvallur,92190,67430,24760
5,Poonamallee,161309,88569,72740
6,Avadi,180384,104073,76311
7,Maduravoyal,141725,80216,61509
8,Ambattur,133339,74558,58781
9,Madavaram,190462,95477,94985
10,Thiruvottiyur,110067,56503,53564
11,Dr.Radhakrishnan Nagar,97800,48132,49668
12,Perambur,120365,66650,53715
13,Kolathur,82997,74202,8795
14,Villivakkam,66445,49143,17302
15,Thiru-Vi-Ka-Nagar,69125,46792,22333
16,Egmore,53901,43097,10804
17,Royapuram,59091,44842,14249
18,Harbour,45254,33504,11750
19,Chepauk-Thiruvallikeni,62992,55852,7140
20,Thousand Lights,58965,43824,15141
21,Anna Nagar,71375,50012,21363
22,Virugampakkam,76092,49006,27086
23,Saidapet,81205,52691,28514
24,Thiyagarayanagar,51632,38605,13027
25,Mylapore,70070,41098,28972
26,Velachery,80430,47125,33305
27,Shozhinganallur,220382,123602,96780
28,Alandur,112205,82596,29609
29,Sriperumbudur,147611,93365,54246
30,Pallavaram,133611,78918,54693
31,Tambaram,118967,83346,35621
32,Chengalpattu,137136,101495,35641
33,Thiruporur,110095,70744,39351
34,Cheyyur,63809,58141,5668
35,Madurantakam,69284,62090,7194
36,Uthiramerur,84917,70694,14223
37,Kancheepuram,91350,75862,15488
38,Arakkonam,73776,50655,23121
39,Sholingur,84506,78820,5686
40,Katpadi,69868,63998,5870
41,Ranipet,91149,85362,5787
42,Arcot,105608,62888,42720
43,Vellore,73032,66255,6777
44,Anaikattu,76302,69221,7081
45,Kilvaithinankuppam,74305,54050,20255
46,Gudiyattam,82858,72761,10097
47,Vaniyambadi,73181,70199,2982
48,Ambur,74102,66971,7131
49,Jolarpet,78633,62550,16083
50,Tiruppattur,105098,56835,48263
51,Uthangarai,70201,65003,5198
52,Bargur,71240,66999,4241
53,Krishnagiri,89374,70530,18844
54,Veppanahalli,74691,74553,138
55,Hosur,109867,82064,27803
56,Thalli,78283,73043,5240
57,Palacodu,102807,63765,39042
58,Pennagaram,81240,78075,3165
59,Dharmapuri,93713,72817,20896
60,Pappireddipatti,101829,68715,33114
61,Harur,75523,72194,3329
62,Chengam,87802,74524,13278
63,Tiruvannamalai,88273,85818,2455
64,Kilpennathur,90503,60038,30465
65,Kalasapakkam,89629,62889,26740
66,Polur,67961,67734,227
67,Arani,76735,71104,5631
68,Cheyyar,86680,65599,21081
69,Vandavasi,63805,60472,3333
70,Gingee,78201,65556,12645
71,Mailam,82353,52312,30041
72,Tindivanam,63833,63099,734
73,Vanur,68873,61839,7034
74,Viluppuram,72982,68863,4119
75,Vikravandi,69727,68817,910
76,Tirukkoyilur,73033,72748,285
77,Ulundurpettai,98471,96194,2277
78,Rishivandiyam,89711,84849,4862
79,Sankarapuram,80250,76810,3440
80,Kallakurichi,81132,80334,798
81,Gangavalli,73167,58763,14404
82,Attur,80843,65525,15318
83,Yercaud,87772,85583,2189
84,Omalur,112246,97707,14539
85,Mettur,86498,67393,19105
86,Edappadi,148933,50823,98110
87,Sankari,87342,77825,9517
88,Salem (West),120407,45540,74867
89,Salem (North),85710,71676,14034
90,Salem (South),91371,58002,33369
91,Veerapandi,79907,75836,4071
92,Rasipuram,74808,60297,14511
93,Senthamangalam,68815,66160,2655
94,Namakkal,79744,68736,11008
95,Paramathi-Velur,61349,61041,308
96,Tiruchengodu,79500,51328,28172
97,Kumarapalayam,81179,73483,7696
98,Erode (East),69747,45781,23966
99,Erode (West),96836,74586,22250
100,Modakkurichi,60715,58285,2430
101,Dharapuram,81100,64373,16727
102,Kangayam,71122,62989,8133
103,Perundurai,70302,60609,9693
104,Bhavani,75577,68181,7396
105,Anthiyur,60042,58782,1260
106,Gobichettipalayam,82612,65992,16620
107,Bhavanisagar,72391,67822,4569
108,Udhagamandalam,48488,47512,976
109,Gudalur,65590,42757,22833
110,Coonoor,50470,42371,8099
111,Mettuppalayam,75664,67896,7768
112,Avanashi,84209,68836,15373
113,Tiruppur (North),131401,61409,69992
114,Tiruppur (South),73793,60892,12901
115,Palladam,121297,83400,37897
116,Sulur,90531,85741,4790
117,Kavundampalayam,146466,104326,42140
118,Coimbatore (North),92500,70508,21992
119,Thondamuthur,93316,78591,14725
120,Coimbatore (South),59724,57453,2271
121,Singanallur,84163,65024,19139
122,Kinathukadavu,99950,88240,11710
123,Pollachi,62013,57386,4627
124,Valparai,54671,45300,9371
125,Udumalaipettai,68549,65667,2882
126,Madathukulam,70458,54490,15968
127,Palani,66986,66293,693
128,Oddanchatram,93099,49850,43249
129,Athoor,106240,83872,22368
130,Nilakkottai,68580,65655,2925
131,Natham,85708,73839,11869
132,Dindigul,74489,73358,1131
133,Vedasandur,84948,74885,10063
134,Aravakurichi,70827,51445,19382
135,Karur,71542,69721,1821
136,Krishnarayapuram,62378,58875,3503
