ac_number,constituency,candidate,party,votes,region,reserved
1,Gummidipoondi,S.VIJAYAKUMAR,TVK,94320,Chennai Metro,GEN
2,Ponneri,DR.RAVI.M.S,TVK,110439,Chennai Metro,SC
3,Tiruttani,G.HARI,AIADMK,89169,Chennai Metro,GEN
4,Thiruvallur,DR. T. ARUNKUMAR,TVK,92190,Chennai Metro,GEN
5,Poonamallee,PRAKASAM.R,TVK,161309,Chennai Metro,SC
6,Avadi,R.RAMESH KUMAR,TVK,180384,Chennai Metro,GEN
7,Maduravoyal,RHEVANTH CHARAN,TVK,141725,Chennai Metro,GEN
8,Ambattur,BALAMURUGAN.G,TVK,133339,Chennai Metro,GEN
9,Madavaram,M.L.VIJAYPRABHU,TVK,190462,Chennai Metro,GEN
10,Thiruvottiyur,SENTHIL KUMAR. N,TVK,110067,Chennai Metro,GEN
11,Dr.Radhakrishnan Nagar,N. MARIE WILSON,TVK,97800,Chennai Metro,GEN
12,Perambur,C. JOSEPH VIJAY,TVK,120365,Chennai Metro,GEN
13,Kolathur,V. S. BABU,TVK,82997,Chennai Metro,GEN
14,Villivakkam,AADHAV ARJUNA,TVK,66445,Chennai Metro,GEN
15,Thiru-Vi-Ka-Nagar,M. R. PALLAVI,TVK,69125,Chennai Metro,SC
16,Egmore,RAJMOHAN,TVK,53901,Chennai Metro,SC
17,Royapuram,K.V. VIJAY DAMU,TVK,59091,Chennai Metro,GEN
18,Harbour,P K SEKARBABU,DMK,45254,Chennai Metro,GEN
19,Chepauk-Thiruvallikeni,UDHAYANIDHI STALIN,DMK,62992,Chennai Metro,GEN
20,Thousand Lights,PRABHAKAR.J.C.D,TVK,58965,Chennai Metro,GEN
21,Anna Nagar,V.K.RAMKUMAR,TVK,71375,Chennai Metro,GEN
22,Virugampakkam,SABARINATHAN.R,TVK,76092,Chennai Metro,GEN
23,Saidapet,ARUL PRAKASAM. M,TVK,81205,Chennai Metro,GEN
24,Thiyagarayanagar,ANAND N,TVK,51632,Chennai Metro,GEN
25,Mylapore,VENKATARAMANAN. P,TVK,70070,Chennai Metro,GEN
26,Velachery,KUMAR. R,TVK,80430,Chennai Metro,GEN
27,Shozhinganallur,ECR P SARAVANAN,TVK,220382,Chennai Metro,GEN
28,Alandur,M.HARISH,TVK,112205,Chennai Metro,GEN
29,Sriperumbudur,THENNARASU.K,TVK,147611,Chennai Metro,SC
30,Pallavaram,J.KAMATCHI,TVK,133611,Chennai Metro,GEN
31,Tambaram,D.SARATHKUMAR,TVK,118967,Chennai Metro,GEN
32,Chengalpattu,S. THIYAGARAJAN,TVK,137136,Chennai Metro,GEN
33,Thiruporur,B.VIJAYARAJ,TVK,110095,North,GEN
34,Cheyyur,RAJASEKAR. E,AIADMK,63809,North,SC
35,Madurantakam,MARAGATHAM KUMARAVEL.K,AIADMK,69284,North,SC
36,Uthiramerur,MUNIRATHINAM.J,TVK,84917,North,GEN
37,Kancheepuram,R.V. RANJITHKUMAR,TVK,91350,North,GEN
38,Arakkonam,V. GANDHIRAJ,TVK,73776,North,SC
39,Sholingur,G.KAPIL,TVK,84506,North,GEN
40,Katpadi,DR M SUDHAKAR,TVK,69868,North,GEN
41,Ranipet,THAHIRA,TVK,91149,North,GEN
42,Arcot,S.M.SUKUMAR,AIADMK,105608,North,GEN
43,Vellore,M.M.VINOTH KANNAN,TVK,73032,North,GEN
44,Anaikattu,D.VELAZHAGAN,AIADMK,76302,North,GEN
45,Kilvaithinankuppam,THENRAL KUMAR. E,TVK,74305,North,SC
46,Gudiyattam,K.SINDU,TVK,82858,North,SC
47,Vaniyambadi,SYED FAROOQ BASHA SSB,IUML,73181,North,GEN
48,Ambur,VILWANATHAN. A.C.,DMK,74102,North,GEN
49,Jolarpet,VEERAMANI K.C.,AIADMK,78633,North,GEN
50,Tiruppattur,DR.THIRUPATHI. N,TVK,105098,North,GEN
51,Uthangarai,N ELAIYARAJA,TVK,70201,North,SC
52,Bargur,E.C. GOVINDARASAN,AIADMK,71240,North,GEN
53,Krishnagiri,MUKUNDHAN.P,TVK,89374,North,GEN
54,Veppanahalli,SRINIVASAN.P.S,DMK,74691,North,GEN
55,Hosur,BALAKRISHNAREDDY. P,AIADMK,109867,North,GEN
56,Thalli,RAMACHANDRAN. T,CPI,78283,North,GEN
57,Palacodu,ANBALAGAN. K.P.,AIADMK,102807,North,GEN
58,Pennagaram,GAJENDRAN. S.,TVK,81240,North,GEN
59,Dharmapuri,SOWMIYA ANBUMANI,PMK,93713,North,GEN
60,Pappireddipatti,MARAGATHAM VETRIVEL,AIADMK,101829,North,GEN
61,Harur,SAMPATHKUMAR. V,AIADMK,75523,North,SC
62,Chengam,S.VELU,AIADMK,87802,North,SC
63,Tiruvannamalai,VELU. E.V,DMK,88273,North,GEN
64,Kilpennathur,RAMACHANDRAN.S,AIADMK,90503,North,GEN
65,Kalasapakkam,AGRI KRISHNAMURTHY. S S,AIADMK,89629,North,GEN
66,Polur,ABISHEK. R,TVK,67961,North,GEN
67,Arani,JAYASUDHA. L,AIADMK,76735,North,GEN
68,Cheyyar,MUKKUR N. SUBRAMANIAN,AIADMK,86680,North,GEN
69,Vandavasi,AMBETHKUMAR. S,DMK,63805,North,SC
70,Gingee,GANESHKUMAR A,PMK,78201,Central,GEN
71,Mailam,SHANMUGAM C VE,AIADMK,82353,Central,GEN
72,Tindivanam,VANNI ARASU,VCK,63833,Central,SC
73,Vanur,GOWTHAM D,DMK,68873,Central,SC
74,Viluppuram,LAKSHMANAN R,DMK,72982,Central,GEN
75,Vikravandi,SIVAKUMAR C,PMK,69727,Central,GEN
76,Tirukkoyilur,PALANISAMY S,AIADMK,73033,Central,GEN
77,Ulundurpettai,VASANTHAVEL G R,DMK,98471,Central,GEN
78,Rishivandiyam,KARTHIKEYAN K,DMK,89711,Central,GEN
79,Sankarapuram,RAKESH R,AIADMK,80250,Central,GEN
80,Kallakurichi,ARUL VIGNESH C,TVK,81132,Central,SC
81,Gangavalli,NALLATHAMBI. A,AIADMK,73167,Central,SC
82,Attur,JAYASANKARAN. A.P.,AIADMK,80843,Central,SC
83,Yercaud,USHARANI. P,AIADMK,87772,Central,ST
84,Omalur,MANI. R,AIADMK,112246,Central,GEN
85,Mettur,VENKATACHALAM. G,AIADMK,86498,Central,GEN
86,Edappadi,EDAPPADI PALANISWAMI. K,AIADMK,148933,Central,GEN
87,Sankari,VETRIVEL. S,AIADMK,87342,Central,GEN
88,Salem (West),LAKSHMANAN.S,TVK,120407,Central,GEN
89,Salem (North),SIVAKUMAR. K,TVK,85710,Central,GEN
90,Salem (South),VIJAY TAMILAN PARTHIBAN. A,TVK,91371,Central,GEN
91,Veerapandi,PALANIVEL. M.S,TVK,79907,Central,GEN
92,Rasipuram,LOGESH TAMILSELVAN D,TVK,74808,Central,SC
93,Senthamangalam,P CHANDRASEKAR,TVK,68815,Central,ST
94,Namakkal,DILIP C S,TVK,79744,Central,GEN
95,Paramathi-Velur,SEKAR S,AIADMK,61349,Central,GEN
96,Tiruchengodu,ARUNRAJ K G,TVK,79500,Central,GEN
97,Kumarapalayam,C.VIJAYALAKSHMI,TVK,81179,Central,GEN
98,Erode (East),M.VIJAY BALAJI,TVK,69747,Kongu,GEN
99,Erode (West),ANANTH MOGHAN K.K.,TVK,96836,Kongu,GEN
100,Modakkurichi,D.SHANMUGAN,TVK,60715,Kongu,GEN
101,Dharapuram,SATHYABAMA.P,AIADMK,81100,Kongu,SC
102,Kangayam,NSN NATARAJ,AIADMK,71122,Kongu,GEN
103,Perundurai,JAYAKUMAR. S,AIADMK,70302,Kongu,GEN
104,Bhavani,KARUPPANAN. K.C,AIADMK,75577,Kongu,GEN
105,Anthiyur,HARIBASKAR.P,AIADMK,60042,Kongu,GEN
106,Gobichettipalayam,SENGOTTAIYAN.K.A,TVK,82612,Kongu,GEN
107,Bhavanisagar,V.P.TAMILSELVI,TVK,72391,Kongu,SC
108,Udhagamandalam,BHOJARAJAN.M,BJP,48488,Kongu,GEN
109,Gudalur,DHRAVIDAMANI.M,DMK,65590,Kongu,SC
110,Coonoor,M. RAJU,DMK,50470,Kongu,GEN
111,Mettuppalayam,SUNILANAND,TVK,75664,Kongu,GEN
112,Avanashi,KAMALI.S,TVK,84209,Kongu,SC
113,Tiruppur (North),V.SATHYABAMA,TVK,131401,Kongu,GEN
114,Tiruppur (South),BALAMURUGAN. S,TVK,73793,Kongu,GEN
115,Palladam,K.RAMKUMAR,TVK,121297,Kongu,GEN
116,Sulur,NM.SUKUMAR,TVK,90531,Kongu,GEN
117,Kavundampalayam,KANIMOZHI SANTHOSH,TVK,146466,Kongu,GEN
118,Coimbatore (North),V. SAMPATHKUMAR,TVK,92500,Kongu,GEN
119,Thondamuthur,S.P.VELUMANI,AIADMK,93316,Kongu,GEN
120,Coimbatore (South),V SENTHILBALAJI,DMK,59724,Kongu,GEN
121,Singanallur,K.S.SRI GIRI PRASATH,TVK,84163,Kongu,GEN
122,Kinathukadavu,VIGNESH K,TVK,99950,Kongu,GEN
123,Pollachi,K. NITHYANANDHAN,DMK,62013,Kongu,GEN
124,Valparai,KUTTY (ALIAS) SUDHAKAR. A,DMK,54671,Kongu,SC
125,Udumalaipettai,JAYAKUMAR M.,DMK,68549,Kongu,GEN
126,Madathukulam,R JAYARAMAKRISHNAN,DMK,70458,Kongu,GEN
127,Palani,RAVIMANOHARAN. K,AIADMK,66986,South,GEN
128,Oddanchatram,SAKKARAPANI. R,DMK,93099,South,GEN
129,Athoor,I. PERIASAMY,DMK,106240,South,GEN
130,Nilakkottai,AYYANAR.R,TVK,68580,South,SC
131,Natham,NATHAM VISWANATHAN R,AIADMK,85708,South,GEN
132,Dindigul,SENTHILKUMAR. I.P,DMK,74489,South,GEN
133,Vedasandur,SAMINATHAN. T,DMK,84948,South,GEN
134,Aravakurichi,ELANGO. R,DMK,70827,Kongu,GEN
135,Karur,M.R. VIJAYABHASKAR,AIADMK,71542,Kongu,GEN
136,Krishnarayapuram,SATHYA. M,TVK,62378,Kongu,SC
137,Kulithalai,SURIYANUR. A. CHANDRAN,DMK,68138,Kongu,GEN
138,Manapparai,R. KATHIRAVAN,TVK,83041,Delta,GEN
139,Srirangam,RAMESH,TVK,103235,Delta,GEN
140,Tiruchirappalli (West),K.N.NEHRU,DMK,88235,Delta,GEN
141,Tiruchirappalli (East),C. JOSEPH VIJAY,TVK,91381,Delta,GEN
142,Thiruverumbur,VIJAYAKUMAR (A) NAVALPATTU S. VIJI,TVK,89837,Delta,GEN
143,Lalgudi,LEEMAROSE MARTIN,AIADMK,60795,Delta,GEN
144,Manachanallur,KATHIRAVAN. S,DMK,81447,Delta,GEN
145,Musiri,M.VIGNESH,TVK,71281,Delta,GEN
146,Thuraiyur,RAVISANKAR.M,TVK,66263,Delta,SC
147,Perambalur,SIVAKUMAR. K,TVK,90882,Central,SC
148,Kunnam,SIVASANKAR. S.S,DMK,87237,Central,GEN
149,Ariyalur,RAJENDRAN S,AIADMK,95219,Central,GEN
150,Jayankondam,VAITHILINGAM G.,PMK,88992,Central,GEN
151,Tittakudi,GANESAN C.V,DMK,63106,Central,SC
152,Vriddhachalam,PREMALLATHA VIJAYAKANT,DMDK,69351,Central,GEN
153,Neyveli,RAJENDRAN.R,AIADMK,63731,Central,GEN
154,Panruti,MOHAN. K,AIADMK,78398,Central,GEN
155,Cuddalore,B.RAJKUMAR,TVK,70856,Central,GEN
156,Kurinjipadi,M.R.K.PANNEERSELVAM,DMK,76695,Central,GEN
157,Bhuvanagiri,ARUNMOZHITHEVAN . A,AIADMK,75707,Central,GEN
158,Chidambaram,THAMIMUN ANSARI. M,DMK,69739,Central,GEN
159,Kattumannarkoil,L.E. JOTHIMANI,VCK,85179,Central,SC
160,Sirkazhi,SENTHILSELVAN.R,DMK,71449,Delta,SC
161,Mayiladuthurai,JAMAL MOHAMED YOUNOOS. Y.N,INC,68011,Delta,GEN
162,Poompuhar,NIVEDHA M MURUGAN,DMK,81096,Delta,GEN
163,Nagapattinam,M.H.JAWAHIRULLAH,DMK,56305,Delta,GEN
164,Kilvelur,LATHA. T,CPI(M),56108,Delta,SC
165,Vedaranyam,MANIAN. O.S,AIADMK,59172,Delta,GEN
166,Thiruthuraipoondi,MARIMUTHU.K,CPI,74062,Delta,SC
167,Mannargudi,KAMARAJ. S,AMMK,68416,Delta,GEN
168,Thiruvarur,KALAIVANAN POONDI  K,DMK,93408,Delta,GEN
169,Nannilam,KAMARAJ. R,AIADMK,103462,Delta,GEN
170,Thiruvidaimarudur,GOVI.CHEZHIAAN,DMK,79951,Delta,SC
171,Kumbakonam,VINOTH,TVK,78650,Delta,GEN
172,Papanasam,A.M. SHAHJAHAN,IUML,69284,Delta,GEN
173,Thiruvaiyaru,DURAI. CHANDRASEKARAN,DMK,80425,Delta,GEN
174,Thanjavur,R. VIJAYSARAVANAN,TVK,87705,Delta,GEN
175,Orathanadu,R. VAITHILINGAM,DMK,86759,Delta,GEN
176,Pattukkottai,ANNADURAI K,DMK,65963,Delta,GEN
177,Peravurani,ASHOKKUMAR. N,DMK,60919,Delta,GEN
178,Gandharvakottai,N. SUBRAMANIAN,TVK,58795,Delta,SC
179,Viralimalai,VIJAYABASKAR. C,AIADMK,105773,Delta,GEN
180,Pudukkottai,V. MUTHURAJA,DMK,66825,Delta,GEN
181,Thirumayam,REGUPATHY.S,DMK,58201,Delta,GEN
182,Alangudi,SIVA.V.MEYYANATHAN,DMK,64929,Delta,GEN
183,Aranthangi,MOHAMED FARVAS. J,TVK,73244,Delta,GEN
184,Karaikudi,DR.PRABHU. TK,TVK,101358,South,GEN
185,Tiruppattur,SEENIVASA SETHUPATHY. R,TVK,83375,South,GEN
186,Sivaganga,KULANTHAI RANI A,TVK,73737,South,GEN
187,Manamadurai,ELANGOVAN.D,TVK,69971,South,SC
188,Melur,P.VISWANATHAN,INC,60080,South,GEN
189,Madurai East,KARTHIKEYAN S,TVK,118777,South,GEN
190,Sholavandan,KARUPPAIAH.M.V,TVK,63907,South,SC
191,Madurai North,A.KALLANAI,TVK,72853,South,GEN
192,Madurai South,M.M.GOPISON,TVK,62415,South,GEN
193,Madurai Central,MADHAR BADHURUDEEN,TVK,63414,South,GEN
194,Madurai West,THANGAPANDI SR,TVK,88250,South,GEN
195,Thiruparankundram,NIRMALKUMAR. R.,TVK,114316,South,GEN
196,Thirumangalam,MANIMARAN.M,DMK,88291,South,GEN
197,Usilampatti,VIJAY. M,TVK,65743,South,GEN
198,Andipatti,MAHARAJAN.A,DMK,74324,South,GEN
199,Periyakulam,SABARI IYNGARAN G.,TVK,85656,South,SC
200,Bodinayakanur,PANNEERSELVAM.O,DMK,85206,South,GEN
201,Cumbum,JEGANATHMISHRA PLA,TVK,85394,South,GEN
202,Rajapalayam,JEGADESHWARI. K,TVK,65548,South,GEN
203,Srivilliputhur,KARTHIK.A,TVK,65653,South,SC
204,Sattur,KADARKARAIRAJ. A,DMK,62060,South,GEN
205,Sivakasi,KEERTHANA S,TVK,68709,South,GEN
206,Virudhunagar,SELVAM P,TVK,63653,South,GEN
207,Aruppukkottai,RAMACHANDRAN. K.K.S.S.R,DMK,65104,South,GEN
208,Tiruchuli,THANGAM THENARASU,DMK,75085,South,GEN
209,Paramakudi,ADVOCATE. KATHIRAVAN. K.K,DMK,59161,South,SC
210,Tiruvadanai,RAJEEV,TVK,69551,South,GEN
211,Ramanathapuram,KATHARBATCHA MUTHURAMALINGAM,DMK,89137,South,GEN
212,Mudhukulathur,R.S.RAJAKANNAPPAN,DMK,68003,South,GEN
213,Vilathikulam,MARKANDAYAN G V,DMK,58395,South,GEN
214,Thoothukkudi,SRINATH,TVK,100536,South,GEN
215,Tiruchendur,ANITHA R. RADHAKRISHNAN,DMK,72723,South,GEN
216,Srivaikuntam,SARAVANAN. G,TVK,58814,South,GEN
217,Ottapidaram,P .MATHANRAJA,TVK,81625,South,SC
218,Kovilpatti,KARUNANITHI.K,DMK,61643,South,GEN
219,Sankarankovil,DR. DHILIPAN JAISHANKAR,AIADMK,64865,South,SC
220,Vasudevanallur,E. RAJA,DMK,63045,South,SC
221,Kadayanallur,RAJENDRAN. T. M,DMK,79832,South,GEN
222,Tenkasi,DR.KALAI KATHIRAVAN,DMK,79699,South,GEN
223,Alangulam,PAUL MANOJ PANDIAN,DMK,69170,South,GEN
224,Tirunelveli,MURUGHAN.R.S.,TVK,75840,South,GEN
225,Ambasamudram,DR.ESAKKI SUBAYA,AIADMK,65589,South,GEN
226,Palayamkottai,M.ABDUL WAHAB,DMK,79744,South,GEN
227,Nanguneri,REDDIARPATTI V. NARAYANAN,TVK,74952,South,GEN
228,Radhapuram,DR.SATHISH CHRISTOPHER,TVK,69947,South,GEN
229,Kanniyakumari,THALAVAI SUNDARAM. N,AIADMK,75045,South,GEN
230,Nagercoil,AUSTIN,DMK,69880,South,GEN
231,Colachal,THARAHAI CUTHBERT,INC,66207,South,GEN
232,Padmanabhapuram,CHELLASWAMY. R,CPI(M),68938,South,GEN
233,Vilavancode,PRAVEEN T.T,INC,70755,South,GEN
234,Killiyoor,RAJESH KUMAR. S,INC,66434,South,GEN
